"Suburb","Address","Rooms","Type","Price","Date","Distance","Bedroom","Bathroom","Car","Regionname","Propertycount","Year","Price_thousand"
"Airport West","138 Victory Rd",3,"house,cottage,villa,semi,terrace",1042000,2016-07-16,13.5,3,2,5,"Western Metropolitan",3464,"2016",1042
"Airport West","75 King St",3,"house,cottage,villa,semi,terrace",910000,2016-09-17,13.5,3,1,1,"Western Metropolitan",3464,"2016",910
"Airport West","6 Kittyhawk St",4,"house,cottage,villa,semi,terrace",773000,2016-09-17,13.5,5,3,4,"Western Metropolitan",3464,"2016",773
"Airport West","478 Fullarton Rd",3,"house,cottage,villa,semi,terrace",810000,2017-03-18,13.5,3,3,2,"Western Metropolitan",3464,"2017",810
"Airport West","144 Marshall Rd",3,"house,cottage,villa,semi,terrace",715000,2017-03-18,13.5,3,2,2,"Western Metropolitan",3464,"2017",715
"Airport West","106 Parer Rd",3,"house,cottage,villa,semi,terrace",790000,2017-03-18,13.5,3,1,3,"Western Metropolitan",3464,"2017",790
"Airport West","3/7 South Rd",3,"townhouse",540000,2016-06-18,13.5,2,2,1,"Western Metropolitan",3464,"2016",540
"Airport West","37 North St",3,"townhouse",825000,2016-11-19,13.5,3,2,1,"Western Metropolitan",3464,"2016",825
"Airport West","10 Hilbert Rd",3,"house,cottage,villa,semi,terrace",685000,2016-05-22,13.5,3,1,1,"Western Metropolitan",3464,"2016",685
"Airport West","110 Halsey Rd",3,"house,cottage,villa,semi,terrace",805000,2016-08-22,13.5,3,1,1,"Western Metropolitan",3464,"2016",805
"Airport West","2/13 North St",2,"unit,duplex",510000,2016-08-22,13.5,2,1,1,"Western Metropolitan",3464,"2016",510
"Airport West","105a Victory Rd",3,"house,cottage,villa,semi,terrace",612000,2016-08-22,13.5,3,2,1,"Western Metropolitan",3464,"2016",612
"Airport West","117 Marshall Rd",3,"house,cottage,villa,semi,terrace",662000,2016-04-23,13.5,3,1,2,"Western Metropolitan",3464,"2016",662
"Airport West","34 Moorna Dr",4,"house,cottage,villa,semi,terrace",978000,2016-09-24,13.5,4,3,2,"Western Metropolitan",3464,"2016",978
"Airport West","33 North St",3,"house,cottage,villa,semi,terrace",720000,2017-02-25,13.5,3,1,1,"Western Metropolitan",3464,"2017",720
"Airport West","49 Roberts Rd",4,"house,cottage,villa,semi,terrace",765000,2016-11-27,13.5,4,1,2,"Western Metropolitan",3464,"2016",765
"Airport West","85 Roberts Rd",4,"house,cottage,villa,semi,terrace",9e+05,2016-11-27,13.5,4,2,3,"Western Metropolitan",3464,"2016",900
"Albert Park","105 Kerferd Rd",2,"house,cottage,villa,semi,terrace",1275000,2016-09-03,3.3,2,1,0,"Southern Metropolitan",3280,"2016",1275
"Albert Park","85 Richardson St",2,"house,cottage,villa,semi,terrace",1455000,2016-09-03,3.3,2,1,0,"Southern Metropolitan",3280,"2016",1455
"Albert Park","112 Beaconsfield Pde",3,"house,cottage,villa,semi,terrace",2850000,2017-03-04,3.3,3,2,0,"Southern Metropolitan",3280,"2017",2850
"Albert Park","94 Graham St",3,"house,cottage,villa,semi,terrace",1850000,2017-03-04,3.3,3,2,0,"Southern Metropolitan",3280,"2017",1850
"Albert Park","396 Montague St",2,"house,cottage,villa,semi,terrace",1436000,2017-03-04,3.3,2,1,0,"Southern Metropolitan",3280,"2017",1436
"Albert Park","75 Graham St",2,"house,cottage,villa,semi,terrace",1110000,2016-08-06,3.3,1,1,0,"Southern Metropolitan",3280,"2016",1110
"Albert Park","54 Brooke St",2,"house,cottage,villa,semi,terrace",1550000,2016-05-07,3.3,2,1,1,"Southern Metropolitan",3280,"2016",1550
"Albert Park","104 Richardson St",4,"house,cottage,villa,semi,terrace",2300000,2016-05-07,3.3,4,2,1,"Southern Metropolitan",3280,"2016",2300
"Albert Park","4a Mills St",3,"townhouse",1550000,2016-11-07,3.3,3,2,2,"Southern Metropolitan",3280,"2016",1550
"Albert Park","1 Moubray St",3,"house,cottage,villa,semi,terrace",1800000,2016-11-07,3.3,3,2,1,"Southern Metropolitan",3280,"2016",1800
"Albert Park","29 Faussett St",2,"house,cottage,villa,semi,terrace",2120000,2016-09-10,3.3,2,1,1,"Southern Metropolitan",3280,"2016",2120
"Albert Park","3 Herbert St",3,"house,cottage,villa,semi,terrace",1800000,2016-09-10,3.3,3,1,1,"Southern Metropolitan",3280,"2016",1800
"Albert Park","24 Kerferd Pl",3,"house,cottage,villa,semi,terrace",1800000,2016-09-10,3.3,3,2,1,"Southern Metropolitan",3280,"2016",1800
"Albert Park","44 Draper St",2,"house,cottage,villa,semi,terrace",1810000,2016-12-10,3.3,2,1,0,"Southern Metropolitan",3280,"2016",1810
"Albert Park","2 Dundas Pl",3,"house,cottage,villa,semi,terrace",2615000,2016-12-10,3.3,3,2,1,"Southern Metropolitan",3280,"2016",2615
"Albert Park","23 Finlay St",5,"house,cottage,villa,semi,terrace",2100000,2016-12-10,3.3,5,2,1,"Southern Metropolitan",3280,"2016",2100
"Albert Park","31 Richardson St",3,"house,cottage,villa,semi,terrace",1300000,2016-12-10,3.3,3,1,0,"Southern Metropolitan",3280,"2016",1300
"Albert Park","4a Gatehouse La",3,"house,cottage,villa,semi,terrace",1370000,2016-06-12,3.3,3,2,2,"Southern Metropolitan",3280,"2016",1370
"Albert Park","60 Brooke St",2,"house,cottage,villa,semi,terrace",1e+06,2016-11-12,3.3,2,1,0,"Southern Metropolitan",3280,"2016",1000
"Albert Park","70 Barrett St",3,"house,cottage,villa,semi,terrace",2575000,2016-10-15,3.3,3,2,1,"Southern Metropolitan",3280,"2016",2575
"Albert Park","65 Graham St",2,"house,cottage,villa,semi,terrace",1322500,2016-10-15,3.3,2,1,0,"Southern Metropolitan",3280,"2016",1322.5
"Albert Park","364 Montague St",2,"house,cottage,villa,semi,terrace",1562500,2016-10-15,3.3,2,1,0,"Southern Metropolitan",3280,"2016",1562.5
"Albert Park","86 Mills St",3,"house,cottage,villa,semi,terrace",2e+06,2016-04-16,3.3,3,2,1,"Southern Metropolitan",3280,"2016",2000
"Albert Park","129 Kerferd Rd",3,"house,cottage,villa,semi,terrace",1900000,2017-03-18,3.3,3,1,0,"Southern Metropolitan",3280,"2017",1900
"Albert Park","97 Page St",3,"house,cottage,villa,semi,terrace",3010000,2017-03-18,3.3,3,2,0,"Southern Metropolitan",3280,"2017",3010
"Albert Park","55 Withers St",4,"house,cottage,villa,semi,terrace",2800000,2016-06-18,3.3,4,3,1,"Southern Metropolitan",3280,"2016",2800
"Albert Park","10/140 Kerferd Rd",2,"unit,duplex",647000,2016-05-22,3.3,2,1,1,"Southern Metropolitan",3280,"2016",647
"Albert Park","55 Merton St",3,"house,cottage,villa,semi,terrace",2100000,2016-04-23,3.3,2,1,1,"Southern Metropolitan",3280,"2016",2100
"Albert Park","49 Page St",3,"house,cottage,villa,semi,terrace",2e+06,2016-09-24,3.3,3,1,1,"Southern Metropolitan",3280,"2016",2000
"Albert Park","13/52 Moubray St",1,"unit,duplex",442500,2017-02-25,3.3,1,1,0,"Southern Metropolitan",3280,"2017",442.5
"Albert Park","115 Page St",4,"house,cottage,villa,semi,terrace",4735000,2017-02-25,3.3,4,2,1,"Southern Metropolitan",3280,"2017",4735
"Albert Park","32 Page St",2,"house,cottage,villa,semi,terrace",1340000,2017-02-25,3.3,2,1,0,"Southern Metropolitan",3280,"2017",1340
"Albert Park","34 Richardson St",3,"house,cottage,villa,semi,terrace",1801000,2017-02-25,3.3,3,1,1,"Southern Metropolitan",3280,"2017",1801
"Albert Park","2b Dundas Pl",3,"house,cottage,villa,semi,terrace",1532000,2016-07-26,3.3,3,3,1,"Southern Metropolitan",3280,"2016",1532
"Albert Park","22 Greig St",3,"house,cottage,villa,semi,terrace",3755000,2016-07-26,3.3,3,2,2,"Southern Metropolitan",3280,"2016",3755
"Albert Park","27 Barrett St",4,"house,cottage,villa,semi,terrace",2140000,2016-06-27,3.3,3,2,1,"Southern Metropolitan",3280,"2016",2140
"Albert Park","44 Greig St",2,"house,cottage,villa,semi,terrace",1750000,2016-11-27,3.3,2,1,1,"Southern Metropolitan",3280,"2016",1750
"Albert Park","6 Brooke St",2,"house,cottage,villa,semi,terrace",980000,2016-05-28,3.3,2,1,0,"Southern Metropolitan",3280,"2016",980
"Albert Park","227a Danks St",3,"house,cottage,villa,semi,terrace",2030000,2016-08-28,3.3,3,2,0,"Southern Metropolitan",3280,"2016",2030
"Albert Park","17 Reed St",3,"house,cottage,villa,semi,terrace",1740000,2016-08-28,3.3,3,2,2,"Southern Metropolitan",3280,"2016",1740
"Albert Park","74 Bridport St",3,"house,cottage,villa,semi,terrace",2800000,2016-07-30,3.3,3,3,1,"Southern Metropolitan",3280,"2016",2800
"Albert Park","9 Durham St",1,"house,cottage,villa,semi,terrace",985000,2016-07-30,3.3,1,1,0,"Southern Metropolitan",3280,"2016",985
"Alphington","6 Smith St",4,"house,cottage,villa,semi,terrace",2e+06,2016-09-03,6.4,3,2,4,"Northern Metropolitan",2211,"2016",2000
"Alphington","5/6 Yarralea St",3,"house,cottage,villa,semi,terrace",1110000,2016-09-03,6.4,3,2,2,"Northern Metropolitan",2211,"2016",1110
"Alphington","136A Fulham Rd",3,"house,cottage,villa,semi,terrace",1492000,2017-03-04,6.4,3,2,2,"Northern Metropolitan",2211,"2017",1492
"Alphington","44 Shiers St",4,"house,cottage,villa,semi,terrace",1717500,2016-10-08,6.4,4,2,1,"Northern Metropolitan",2211,"2016",1717.5
"Alphington","83 Fulham Rd",5,"house,cottage,villa,semi,terrace",2840000,2016-06-12,6.4,5,4,4,"Northern Metropolitan",2211,"2016",2840
"Alphington","3/19 Harker St",2,"unit,duplex",525500,2016-11-12,6.4,2,1,1,"Northern Metropolitan",2211,"2016",525.5
"Alphington","4/2 Miller St",2,"townhouse",805000,2016-11-12,6.4,2,2,3,"Northern Metropolitan",2211,"2016",805
"Alphington","2/5 Yarana Rd",2,"unit,duplex",465000,2016-11-12,6.4,2,1,1,"Northern Metropolitan",2211,"2016",465
"Alphington","815 Heidelberg Rd",3,"house,cottage,villa,semi,terrace",2e+06,2016-10-15,6.4,3,3,2,"Northern Metropolitan",2211,"2016",2000
"Alphington","44 Naroon Rd",3,"house,cottage,villa,semi,terrace",1540000,2016-04-16,6.4,3,1,2,"Northern Metropolitan",2211,"2016",1540
"Alphington","3/98 Grange Rd",2,"unit,duplex",820000,2017-03-18,6.4,2,1,1,"Northern Metropolitan",2211,"2017",820
"Alphington","10 Bennett St",4,"house,cottage,villa,semi,terrace",1830000,2016-11-19,6.4,4,2,2,"Northern Metropolitan",2211,"2016",1830
"Alphington","38 Bennett St",4,"house,cottage,villa,semi,terrace",2100000,2016-11-19,6.4,4,2,2,"Northern Metropolitan",2211,"2016",2100
"Alphington","2c Hamilton St",3,"house,cottage,villa,semi,terrace",865000,2016-05-22,6.4,3,1,1,"Northern Metropolitan",2211,"2016",865
"Alphington","5/5 Yarana Rd",2,"unit,duplex",390000,2016-05-22,6.4,2,1,1,"Northern Metropolitan",2211,"2016",390
"Alphington","1/14 Fulham Rd",2,"unit,duplex",512000,2017-02-25,6.4,2,1,1,"Northern Metropolitan",2211,"2017",512
"Alphington","22 Lowther St",3,"house,cottage,villa,semi,terrace",1165000,2016-06-27,6.4,3,1,2,"Northern Metropolitan",2211,"2016",1165
"Alphington","11 Margaret Gr",4,"house,cottage,villa,semi,terrace",1900000,2016-11-27,6.4,4,2,2,"Northern Metropolitan",2211,"2016",1900
"Alphington","6 Naroon Rd",3,"house,cottage,villa,semi,terrace",1485000,2016-08-28,6.4,3,0,0,"Northern Metropolitan",2211,"2016",1485
"Alphington","42 Shiers St",4,"house,cottage,villa,semi,terrace",1950000,2016-07-30,6.4,4,2,3,"Northern Metropolitan",2211,"2016",1950
"Altona","158 Queen St",3,"house,cottage,villa,semi,terrace",520000,2016-09-03,13.8,3,2,1,"Western Metropolitan",5301,"2016",520
"Altona","59 Bracken Gr",5,"house,cottage,villa,semi,terrace",1525000,2016-12-03,13.8,5,3,3,"Western Metropolitan",5301,"2016",1525
"Altona","1/123 Blyth St",2,"townhouse",720000,2016-02-04,13.8,2,1,2,"Western Metropolitan",5301,"2016",720
"Altona","4 Blyth St",3,"house,cottage,villa,semi,terrace",1120000,2017-03-04,13.8,3,1,2,"Western Metropolitan",5301,"2017",1120
"Altona","20 Linnet St",4,"house,cottage,villa,semi,terrace",780000,2016-06-04,13.8,4,1,4,"Western Metropolitan",5301,"2016",780
"Altona","29 Rose St",4,"house,cottage,villa,semi,terrace",1780000,2016-06-04,13.8,4,3,6,"Western Metropolitan",5301,"2016",1780
"Altona","1/170 Blyth St",3,"unit,duplex",630000,2016-08-06,13.8,2,1,2,"Western Metropolitan",5301,"2016",630
"Altona","5/35 Grieve Pde",2,"unit,duplex",406000,2016-08-06,13.8,2,1,1,"Western Metropolitan",5301,"2016",406
"Altona","156 Maidstone St",3,"house,cottage,villa,semi,terrace",660000,2016-05-07,13.8,3,1,1,"Western Metropolitan",5301,"2016",660
"Altona","11 Keeshan Ct",3,"house,cottage,villa,semi,terrace",683500,2016-11-07,13.8,3,1,1,"Western Metropolitan",5301,"2016",683.5
"Altona","1/136 Queen St",2,"unit,duplex",580000,2016-10-08,13.8,2,1,1,"Western Metropolitan",5301,"2016",580
"Altona","173 Queen St",3,"house,cottage,villa,semi,terrace",1335000,2016-10-08,13.8,3,1,4,"Western Metropolitan",5301,"2016",1335
"Altona","1/265 Queen St",3,"townhouse",8e+05,2016-10-08,13.8,3,2,2,"Western Metropolitan",5301,"2016",800
"Altona","3/26 Grieve Pde",2,"unit,duplex",510000,2016-09-10,13.8,2,1,1,"Western Metropolitan",5301,"2016",510
"Altona","261 Queen St",4,"house,cottage,villa,semi,terrace",1070000,2016-09-10,13.8,4,2,2,"Western Metropolitan",5301,"2016",1070
"Altona","4/5 Rose St",2,"unit,duplex",425000,2016-09-10,13.8,2,1,2,"Western Metropolitan",5301,"2016",425
"Altona","1/60 David St",3,"unit,duplex",605000,2016-12-10,13.8,3,2,2,"Western Metropolitan",5301,"2016",605
"Altona","1A Merritt Ct",3,"townhouse",705000,2017-02-11,13.8,3,2,2,"Western Metropolitan",5301,"2017",705
"Altona","4/31 Millers Rd",2,"unit,duplex",391000,2017-02-11,13.8,2,1,1,"Western Metropolitan",5301,"2017",391
"Altona","111/112 Pier St",2,"unit,duplex",440000,2017-02-11,13.8,2,1,1,"Western Metropolitan",5301,"2017",440
"Altona","24 Wren St",4,"house,cottage,villa,semi,terrace",845000,2017-02-11,13.8,4,1,2,"Western Metropolitan",5301,"2017",845
"Altona","1/152 Blyth St",3,"townhouse",743000,2016-11-12,13.8,3,2,2,"Western Metropolitan",5301,"2016",743
"Altona","4/57 Blyth St",3,"unit,duplex",730000,2016-08-13,13.8,3,2,1,"Western Metropolitan",5301,"2016",730
"Altona","164 Maidstone St",3,"house,cottage,villa,semi,terrace",635000,2016-05-14,13.8,3,1,4,"Western Metropolitan",5301,"2016",635
"Altona","3/25 Rayner St",2,"unit,duplex",620000,2016-05-14,13.8,2,1,1,"Western Metropolitan",5301,"2016",620
"Altona","3/46 Sargood St",2,"unit,duplex",447000,2016-10-15,13.8,2,1,1,"Western Metropolitan",5301,"2016",447
"Altona","1/57 Blyth St",3,"unit,duplex",730000,2016-04-16,13.8,3,2,1,"Western Metropolitan",5301,"2016",730
"Altona","22 Fenfield St",3,"house,cottage,villa,semi,terrace",678000,2016-04-16,13.8,3,1,2,"Western Metropolitan",5301,"2016",678
"Altona","5/8 David St",2,"unit,duplex",580000,2016-07-16,13.8,2,2,1,"Western Metropolitan",5301,"2016",580
"Altona","1/28 Seves St",3,"house,cottage,villa,semi,terrace",712000,2016-09-17,13.8,3,1,2,"Western Metropolitan",5301,"2016",712
"Altona","27 McIntyre Dr",3,"house,cottage,villa,semi,terrace",840000,2017-03-18,13.8,3,2,2,"Western Metropolitan",5301,"2017",840
"Altona","4 Boyd St",3,"house,cottage,villa,semi,terrace",980000,2016-11-19,13.8,3,1,2,"Western Metropolitan",5301,"2016",980
"Altona","12 Spear Ct",3,"townhouse",605100,2016-05-22,13.8,3,2,0,"Western Metropolitan",5301,"2016",605.1
"Altona","185 Queen St",3,"house,cottage,villa,semi,terrace",880000,2016-08-22,13.8,3,3,1,"Western Metropolitan",5301,"2016",880
"Altona","3/20 Mulga St",3,"unit,duplex",577000,2016-04-23,13.8,3,2,1,"Western Metropolitan",5301,"2016",577
"Altona","51 Millers Rd",4,"house,cottage,villa,semi,terrace",1030000,2017-02-25,13.8,4,1,0,"Western Metropolitan",5301,"2017",1030
"Altona","2/119 Railway St N",3,"unit,duplex",605000,2017-02-25,13.8,3,1,2,"Western Metropolitan",5301,"2017",605
"Altona","24 McIntyre Dr",3,"house,cottage,villa,semi,terrace",753000,2016-06-27,13.8,3,2,2,"Western Metropolitan",5301,"2016",753
"Altona","104 Maidstone St",2,"house,cottage,villa,semi,terrace",857000,2016-11-27,13.8,2,2,1,"Western Metropolitan",5301,"2016",857
"Altona","49 Bent St",3,"house,cottage,villa,semi,terrace",1500000,2016-05-28,13.8,3,1,1,"Western Metropolitan",5301,"2016",1500
"Altona","5/57 Blyth St",3,"unit,duplex",730000,2016-05-28,13.8,3,2,1,"Western Metropolitan",5301,"2016",730
"Altona","15 Kookaburra St",3,"house,cottage,villa,semi,terrace",9e+05,2016-05-28,13.8,3,1,4,"Western Metropolitan",5301,"2016",900
"Altona","219 Civic Pde",3,"house,cottage,villa,semi,terrace",740000,2016-08-28,13.8,3,1,2,"Western Metropolitan",5301,"2016",740
"Altona","3 Curtin Ct",4,"house,cottage,villa,semi,terrace",931000,2016-08-28,13.8,4,2,3,"Western Metropolitan",5301,"2016",931
"Altona","2/60 David St",2,"house,cottage,villa,semi,terrace",535600,2016-07-30,13.8,2,1,1,"Western Metropolitan",5301,"2016",535.6
"Altona North","45 Hearn St",5,"house,cottage,villa,semi,terrace",1085000,2016-09-03,11.1,5,3,6,"Western Metropolitan",5132,"2016",1085
"Altona North","4 Knapp St",3,"house,cottage,villa,semi,terrace",781000,2016-09-03,11.1,3,1,2,"Western Metropolitan",5132,"2016",781
"Altona North","21 Hatherley Gr",3,"house,cottage,villa,semi,terrace",750000,2017-03-04,11.1,3,1,3,"Western Metropolitan",5132,"2017",750
"Altona North","3/66 Marion St",2,"townhouse",421000,2017-03-04,11.1,2,1,1,"Western Metropolitan",5132,"2017",421
"Altona North","153 Mills St",3,"house,cottage,villa,semi,terrace",1405000,2017-03-04,11.1,3,1,3,"Western Metropolitan",5132,"2017",1405
"Altona North","33 Carthy St",3,"house,cottage,villa,semi,terrace",683000,2016-06-04,11.1,3,1,2,"Western Metropolitan",5132,"2016",683
"Altona North","16 Harris St",3,"house,cottage,villa,semi,terrace",623000,2016-06-04,11.1,3,1,3,"Western Metropolitan",5132,"2016",623
"Altona North","1/5 Little St",3,"house,cottage,villa,semi,terrace",720000,2016-08-06,11.1,3,2,1,"Western Metropolitan",5132,"2016",720
